name,location,dining rating,dining reviews,cuisine,price,address,phone,url
Cé La Vie Kitchen & Bar,"Middle Circle, Connaught Place, New Delhi",4.2,4190,"North Indian, Mediterranean, Continental, Sushi, Italian, Lebanese, Asian, Bar Food","₹2,200 for two","H-11, Ground Floor, Connaught Cir, Block H, Connaught Place, New Delhi",919090272731,https://www.zomato.com/ncr/c%C3%A9-la-vie-kitchen-bar-connaught-place-new-delhi/info
Chido,"Connaught Place, New Delhi",4.1,3371,"North Indian, Asian, Lebanese, Italian, European, Chinese, Beverages","₹2,000 for two","M-18, Outer Circle, M Block, Connaught Place, New Delhi",919289072284,https://www.zomato.com/ncr/chido-connaught-place-new-delhi/info
Out Of The Box Courtyard,"Middle Circle, Connaught Place, New Delhi",4.1,2707,"Continental, North Indian, Italian, Pizza, Chinese, Asian, Fast Food, Beverages","₹2,200 for two","B 14/1-6, Middle Circle, Connaught Place, New Delhi",917701801223,https://www.zomato.com/ncr/out-of-the-box-courtyard-1-connaught-place-new-delhi/info
Lord Of The Drinks,"Outer Circle, Connaught Place, New Delhi",4.3,13K,"Oriental, North Indian, Continental, Italian, Salad, Fast Food, Desserts, Beverages","₹2,400 for two","G-72, 1st Floor, Outer Circle, Connaught Place, New Delhi",919999827144,https://www.zomato.com/ncr/lord-of-the-drinks-connaught-place-new-delhi/info
Warehouse Cafe,"Connaught Place, New Delhi",4.2,12.7K,"North Indian, Italian, Asian, Kebab, Beverages","₹2,400 for two","D 19/20, D Block, Inner Circle, Near Metro Station Gate 3, Connaught Place, New Delhi",919953033368,https://www.zomato.com/ncr/warehouse-cafe-connaught-place-new-delhi/info
Zurii Delhi,"Club Road, Punjabi Bagh, New Delhi",4.4,778,"North Indian, Asian, Chinese, Pasta, Pizza, Burger, Salad, Desserts","₹1,800 for two","25, 3rd Floor, NWA, Club Road, Punjabi Bagh, New Delhi",918988980505,https://www.zomato.com/ncr/zurii-delhi-1-punjabi-bagh-new-delhi/info
Khubani,"Aerocity, New Delhi",3.7,560,"Mediterranean, Modern Indian, Middle Eastern, Asian, Italian, Desserts","₹3,500 for two","1, Hospitality District, Aerocity, New Delhi",918069168800,https://www.zomato.com/ncr/khubani-aerocity-new-delhi/info
Sufiaana By Cherish,"Ashok Vihar Phase 2, New Delhi",4.4,615,"North Indian, Mediterranean, Asian, European, Chinese","₹2,000 for two","Upper Ground Floor, C-3-4, Pocket C 3, Ashok Vihar Phase 2, New Delhi",919355596661,https://www.zomato.com/ncr/sufiaana-by-cherish-ashok-vihar-phase-2-new-delhi/info
K3 - JW Marriott New Delhi,"JW Marriott New Delhi, Aerocity, New Delhi",4.4,1789,"North Indian, Cantonese, Italian, Asian, Desserts","₹5,000 for two","Asset Area 4, Hospitality District, Aerocity, New Delhi",911145212121,https://www.zomato.com/ncr/k3-jw-marriott-new-delhi-aerocity-new-delhi/info
MKT,"Chanakya Mall, Chanakyapuri, New Delhi",4.1,1676,"Asian, European, Japanese, North Indian, Mexican, Thai, Pizza, Pasta","₹3,000 for two","Lower Ground Floor, Chanakya Mall, Chanakyapuri, New Delhi",+91 8068971343,https://www.zomato.com/ncr/mkt-1-chanakyapuri-new-delhi/info
Cafe Wink,"Anand Vihar, New Delhi",4.4,4957,"Cafe, Continental, Italian, Fast Food, Sandwich, Pizza, Beverages, Desserts","₹1,000 for two","G-1, Plot 9, Sikka Galaxy, Shreshtha Vihar, Near Anand Vihar, New Delhi",911143596979,https://www.zomato.com/ncr/cafe-wink-anand-vihar-new-delhi/info
Kasso,"Moti Nagar, New Delhi",4.2,611,"Italian, Continental, Chinese, Sushi, North Indian, Seafood","₹1,800 for two","30, Shivaji Marg, Moti Nagar, New Delhi",919911378989,https://www.zomato.com/ncr/kasso-moti-nagar-new-delhi/info
Paparizza - Woodfired Pizzas,"Kailash Colony, New Delhi",4.1,241,"Pizza, Pasta, Salad, Desserts, Ice Cream, Continental","₹2,000 for two","7, Shop 1, 2, Ground Floor, Kailash Colony Market, Kailash Colony, New Delhi",919958202541,https://www.zomato.com/ncr/paparizza-woodfired-pizzas-kailash-colony-new-delhi/info
Green Mantis - Authentic Pan Asian,"Khan Market, New Delhi",4.5,695,"Asian, Chinese, Sushi, Desserts, Beverages","₹3,200 for two","19A, Khan Market, New Delhi",918448815375,https://www.zomato.com/ncr/green-mantis-authentic-pan-asian-khan-market-new-delhi/info
Chelvies Coffee,"Sector 53, Gurgaon",4.4,588,"Cafe, Coffee",₹600 for two,"Shop 12, Ground Floor, Central Plaza Mall, Sector 53, Gurgaon",918287814194,https://www.zomato.com/ncr/chelvies-coffee-sector-53-gurgaon/info
Blinque,"Rajouri Garden, New Delhi",3.8,572,"Asian, Continental, Modern Indian, Italian, Desserts","₹2,500 for two","Near Main Market, Rajouri Garden, New Delhi",919582226591,https://www.zomato.com/ncr/blinque-rajouri-garden-new-delhi/info
Qla,"Mehrauli, New Delhi",4.2,1948,"European, Italian, Spanish, Desserts, Beverages","₹3,500 for two","4-A, Seven Style Mile, Kalka Das Marg, Near Qutab Minar, Mehrauli, New Delhi",918527098766,https://www.zomato.com/ncr/qla-mehrauli-new-delhi/info
Bobachee,"South Extension 2, New Delhi",4.3,843,"North Indian, Mughlai","₹2,500 for two","D-14, THIRD FLOOR South Extension 2, New Delhi",911135455091,https://www.zomato.com/ncr/bobachee-1-south-extension-2-new-delhi/info
The Qube - The Leela Palace,"The Leela Palace, Chanakyapuri, New Delhi",4.2,674,"North Indian, Italian, Asian, Seafood, Continental, European, , Desserts","₹3,500 for two","The Leela Palace, Diplomatic Enclave, Chanakyapuri, New Delhi",911139331234,https://www.zomato.com/ncr/the-qube-the-leela-palace-chanakyapuri-new-delhi/info
Zaffran By Kasbah,"Lala Lajpat Rai Marg, New Delhi",4.6,1346,"North Indian, Mughlai, Biryani","₹2,500 for two","N-2, 2nd Floor, N Block Market, Greater Kailash 1 (GK 1), New Delhi, Lala Lajpat Rai Marg, New Delhi",918588854072,https://www.zomato.com/ncr/zaffran-by-kasbah-lala-lajpat-rai-marg-new-delhi/info
Bukhara - ITC Maurya,"ITC Maurya, Chanakyapuri, New Delhi",4.4,4785,"North Indian, Kebab, Desserts","₹8,000 for two","ITC Maurya, Chanakyapuri, New Delhi",911126112233,https://www.zomato.com/ncr/bukhara-itc-maurya-chanakyapuri-new-delhi/info
Cabaana Kitchen & Bar,"Preet Vihar, New Delhi",New,47,"North Indian, Biryani, European, Continental, Asian, Sushi, Chinese, Desserts","₹1,800 for two","88, 3rd Floor, New Rajdhani Enclave, Preet Vihar, New Delhi",917669401012,https://www.zomato.com/ncr/cabaana-kitchen-bar-preet-vihar-new-delhi/info
Quoin - Novotel New Delhi Aerocity,"Novotel New Delhi, Aerocity, New Delhi",4.5,697,"North Indian, Oriental","₹3,500 for two","Asset 2, GMR Hospitality District, Near IGI Airport, Aerocity, New Delhi",919871666600,https://www.zomato.com/ncr/quoin-novotel-new-delhi-aerocity-aerocity-new-delhi/info
Elia Kitchen & Bar,"Rajouri Garden, New Delhi",4.1,343,"North Indian, Continental, Chinese, Biryani, Shake, Salad, Desserts, Beverages","₹2,700 for two","D-4, Block D, Ring Road, Rajouri Garden, New Delhi",011 71565093,https://www.zomato.com/ncr/elia-kitchen-bar-rajouri-garden-new-delhi/info
Dramz,"Mehrauli, New Delhi",4,3488,"European, Japanese, Asian, North Indian","₹3,500 for two","1580/1, KD Marg, Near Qutub Minar, Mehrauli, New Delhi",919311022419,https://www.zomato.com/ncr/dramz-mehrauli-new-delhi/info
736 AD Culinary Bar,"Delhi University-GTB Nagar, New Delhi",4.3,216,"North Indian, Chinese, Cafe","₹1,500 for two","3rd Floor, G16B Vijay Nagar, Single Story, Delhi, Delhi University-GTB Nagar, New Delhi",918010000249,https://www.zomato.com/ncr/736-ad-culinary-bar-delhi-university-gtb-nagar-new-delhi/info
Viva - All Day Dining - Holiday Inn,"Holiday Inn, Aerocity, New Delhi",4.3,1559,"North Indian, Asian, Chinese, Sandwich, Salad, Rolls, Italian, Beverages","₹3,500 for two","12, Holiday Inn, Asset Area, Hospitality District, Aerocity, New Delhi",911142222026,https://www.zomato.com/ncr/viva-all-day-dining-holiday-inn-aerocity-new-delhi/info
Gonzo - Pan Asian Kitchen,"Basant Lok Market, Vasant Vihar, New Delhi",4.5,724,"Asian, Chinese, Japanese, Thai, Beverages, Coffee","₹1,400 for two","14C, First Floor, Vasant Lok Priya Market, Vasant Vihar, New Delhi",919811926307,https://www.zomato.com/ncr/gonzo-pan-asian-kitchen-vasant-vihar-new-delhi/info
The Salt Cafe,"Hajipur, Noida",4.3,3016,"Continental, Chinese, North Indian, Modern Indian, Lebanese, Japanese, Mediterranean, Italian","₹2,200 for two","Plot 437, 4th Floor, Sector 104, Hajipur, Noida",917840011183,https://www.zomato.com/ncr/the-salt-cafe-hajipur-noida/info
RAAG - The Pan-Indian- by Miss Nora,"Rajouri Garden, New Delhi",3.7,219,"North Indian, Mughlai, Modern Indian","₹1,200 for two","1st Floor, R Cube Monad Mall, Rajouri Garden, New Delhi",919810466013,https://www.zomato.com/ncr/raag-the-pan-indian-by-miss-nora-rajouri-garden-new-delhi/info
Mount Fuji Japanese Pan Asian Restaurant & Bar,"Middle Circle, Connaught Place, New Delhi",4.6,3505,"Japanese, Asian, Chinese, Thai, Sushi, Seafood, Desserts, Beverages","₹2,400 for two","M-41/2, Speedbird House, Middle Circle, Connaught Place, New Delhi",918100474746,https://www.zomato.com/ncr/mount-fuji-japanese-pan-asian-restaurant-bar-connaught-place-new-delhi/info
G3 Kitchen & Bar,"Preet Vihar, New Delhi",4.2,453,"North Indian, Chinese, Thai, Sushi, Italian, Asian, European, Beverages","₹1,200 for two","C-50, Third Floor, C Block, Preet Vihar, New Delhi",917428396560,https://www.zomato.com/ncr/g3-kitchen-bar-preet-vihar-new-delhi/info
Maruchi,"Lado Sarai, New Delhi",4.5,1002,"Chinese, Asian, Pizza, Sushi, Japanese, Seafood, Pasta, Desserts","₹3,000 for two","Aurobino Marg, Opposite Qutub Golf Course, Lado Sarai, New Delhi",919910425070,https://www.zomato.com/ncr/maruchi-lado-sarai-new-delhi/info
The Chatter House,"Epicuria Food Mall, Nehru Place, New Delhi",4.3,3751,"North Indian, American, Burger, Italian, Desserts, Beverages","₹2,500 for two","Lower Basement, Epicuria Food Mall, Near Nehru Place Metro Station, Nehru Place, New Delhi",919310790778,https://www.zomato.com/ncr/the-chatter-house-nehru-place-new-delhi/info
Chili's Grill & Bar,"DLF Mall of India, Sector 18, Noida",4.5,9458,"Mexican, Pizza, Pasta, American, Burger, Tex-Mex, Desserts","₹2,500 for two","3rd Floor, DLF Mall Of India, Sector 18, Noida",919650082466,https://www.zomato.com/ncr/chilis-grill-bar-sector-18-noida/info
The Pit,"Vasant Vihar, New Delhi",4.4,272,"BBQ, Grilled Chicken, Salad, Pizza, Burger","₹2,000 for two","46, 1st Floor, Basant Lok Market, Priya Complex, Vasant Vihar, New Delhi",919667661322,https://www.zomato.com/ncr/the-pit-vasant-vihar-new-delhi/info
RYU Rooftop Bar,"32nd Avenue, Milestone, Gurgaon",4.3,2639,"North Indian, Asian, Italian, Sushi, Pasta, Pizza, Chinese, Bar Food","₹2,000 for two","Plot 27, 32nd Avenue, Part 2, National Highway 8, Sector 15, Gurgaon",919810168213,https://www.zomato.com/ncr/ryu-rooftop-bar-sector-15-gurgaon/info
Litchi Bistro,"Malviya Nagar, New Delhi",4.1,220,"Sandwich, European, Italian, Pizza, Pasta, Modern Indian","₹1,600 for two","T-540, Ground Floor, Panchsheel Park, Malviya Nagar, New Delhi",919818563444,https://www.zomato.com/ncr/litchi-bistro-malviya-nagar-new-delhi/info
Call Chotu - All Day Diner & Bar,"Saket, New Delhi",4.6,947,"North Indian, Chinese, Thai, Street Food, Maharashtrian, Momos, Bakery, Ice Cream","₹1,000 for two","GF-17, D2, Southern Park, Saket District Centre, Saket, New Delhi",919910841526,https://www.zomato.com/ncr/call-chotu-all-day-diner-bar-saket-new-delhi/info
Azula Asian Kitchen,"Community Centre, New Friends Colony, New Delhi",4.4,595,"Asian, Japanese, Sushi, Oriental, Chinese, Seafood, Salad, Coffee","₹1,800 for two","53, Community Centre, Opposite ICICI Bank, New Friends Colony, New Delhi",919650444697,https://www.zomato.com/ncr/azula-asian-kitchen-new-friends-colony-new-delhi/info
Themis Barbeque House,"Ambience Mall, DLF Phase 3, Gurgaon",4.2,2223,"North Indian, Italian, Mughlai, Salad, Desserts, Beverages, BBQ, Asian","₹1,800 for two","4th Floor, Ambience Mall, DLF Phase 3, Gurgaon",919090000855,https://www.zomato.com/ncr/themis-barbeque-house-1-dlf-phase-3-gurgaon/info
House Of Wok Prive,"Punjabi Bagh, New Delhi",4.5,313,"Asian, Sushi, Chinese, Thai, Japanese, Seafood","₹1,800 for two","Plot 41, Central Market, Punjabi Bagh, New Delhi",917042730202,https://www.zomato.com/ncr/house-of-wok-prive-punjabi-bagh-new-delhi/info
Rooh,"Ambawatta One Complex, Mehrauli, New Delhi",4.5,999,"Modern Indian, North Indian, Desserts, Beverages","₹4,500 for two","H-5/1, Ambawatta One Complex, Kalkadas Marg, Mehrauli, New Delhi",917303600299,https://www.zomato.com/ncr/rooh-mehrauli-new-delhi/info
Indy by Qla,"Eldeco Centre, New Delhi",4.4,263,"North Indian, Desserts, Beverages","₹3,000 for two","G/4F, G/5F, Ground Floor, Eldeco Center, Malviya Nagar, New Delhi",919995552972,https://www.zomato.com/ncr/indy-by-qla-malviya-nagar-new-delhi/info
Melt House,"M Block Market, Greater Kailash 2 (GK2), New Delhi",4.3,1865,"Cafe, Continental, Sandwich, Italian, Desserts, Coffee, Beverages, Bar Food","₹1,800 for two","74, 2nd Floor, Block M, Road 5, Greater Kailash 2 (GK 2), New Delhi",917703974772,https://www.zomato.com/ncr/melt-house-greater-kailash-gk-2-new-delhi/info
Toy Box,"Sector 29, Gurgaon",4.2,514,"Continental, Chinese, North Indian, Italian, European, Fast Food, Pizza, Beverages","₹3,000 for two","Plot No. 16 & 17, 2nd Floor, Sector 29, Gurgaon",919870280025,https://www.zomato.com/ncr/toy-box-sector-29-gurgaon/info
Fiaba,"Sector 72, Noida",3.9,704,"Cafe, Italian, Bakery, Pizza, Continental, North Indian, Coffee, Desserts","₹1,200 for two","Property No - BLK - 2, Sector - 116, Noida City Zone -4, Gautam Buddha Nagar, Sector 72, Noida",919818458557,https://www.zomato.com/ncr/fiaba-sector-72-noida/info
NAO - Next Asian Outing,"M Block Market, Greater Kailash 2 (GK2), New Delhi",4.5,2710,"Korean, Asian, Chinese, Sushi, Desserts, Beverages","₹1,700 for two","M-40, First Floor, M Block Market, Near Looks Salon, Greater Kailash 2 (GK 2), New Delhi",919971840750,https://www.zomato.com/ncr/nao-next-asian-outing-greater-kailash-gk-2-new-delhi/info
Juu Juu,"Sector 59, Gurgaon",4.5,496,"European, Mediterranean, Turkish, Continental, Bar Food","₹3,000 for two","Unit No 21B, Second Floor, Grand View High Street, Grand Hyatt Complex, Golf Course Extension, Sector 59, Gurgaon",919870133977,https://www.zomato.com/ncr/juu-juu-sector-59-gurgaon/info
The Sunday House,"Punjabi Bagh, New Delhi",4.3,850,"Asian, Mediterranean, North Indian, Pizza, Pasta, Sushi","₹1,400 for two","Property 3C, Club Road, West Punjabi Bagh, New Delhi",919911836663,https://www.zomato.com/ncr/the-sunday-house-punjabi-bagh-new-delhi/info
Udipi's Aahar,"Hajipur, Noida",4.3,1741,"South Indian, Shake",₹400 for two,"105, HA-107 & HA-108, Sector 104, Hajipur, Noida",919773984285,https://www.zomato.com/ncr/udipis-aahar-hajipur-noida/info
House Of Boho,"Ansal Plaza Mall, Khel Gaon Marg, New Delhi",4.1,961,"Mediterranean, Asian, Sushi, Italian, Pizza, Pasta, North Indian","₹3,200 for two","Ansal Plaza, Hudco Place, Andrews Ganj, Khel Gaon Marg, Near August Kranti Marg, South Extension 2, New Delhi",919773771588,https://www.zomato.com/ncr/house-of-boho-south-extension-2-new-delhi/info
Big Yellow Door,"Sector 16, Faridabad",4.4,454,"North Indian, Bar Food, Beverages",₹550 for two,"SCO 25, 2nd Floor, Sector 16, Faridabad",919319060779,https://www.zomato.com/ncr/big-yellow-door-3-sector-16-faridabad/info
House of Migo,"Sector 135, Noida",4.7,3643,"Italian, Burger, Pizza, Pasta, Beverages, Coffee, Desserts","₹2,000 for two","Shop 203, 2nd Floor, To - Day, Logix Blossom Green GH 01, Sector 135, Noida",919911182245,https://www.zomato.com/ncr/house-of-migo-1-sector-135-noida/info
38 Barracks,"Connaught Place, New Delhi",4.5,9430,"North Indian, Biryani, Chinese, Kebab, Desserts, Beverages","₹1,100 for two","M-38, Outer Circle, Opposite Shankar Market, Connaught Place, New Delhi",919717304083,https://www.zomato.com/ncr/38-barracks-connaught-place-new-delhi/info
Sultan- Radisson Blu Kaushambi,"Radisson Blu Hotel, Kaushambi, Ghaziabad",4.3,2616,"North Indian, Chinese, Continental, Italian, Asian, Beverages","₹3,500 for two","H 3, Kaushambi, Ghaziabad",918744050670,https://www.zomato.com/ncr/sultan-radisson-blu-kaushambi-kaushambi-ghaziabad/info
Cafe De Flora,"Chanakyapuri, New Delhi",3.7,949,"Cafe, Coffee, Fast Food, Salad, Pasta, Beverages, Sandwich","₹1,200 for two","Shop 24 & 25, West Flank, Santushti Shopping Complex, Chanakyapuri, New Delhi",918882927513,https://www.zomato.com/ncr/cafe-de-flora-chanakyapuri-new-delhi/info
The Monk,"32nd Avenue, Milestone, Gurgaon",4.3,453,"Chinese, Thai, Asian","₹2,000 for two","1st Floor, Part 2, Unit 23, 32nd Avenue, Sector 15, Gurgaon",919311550445,https://www.zomato.com/ncr/the-monk-1-sector-15-gurgaon/info
Imperfecto,"Gardens Galleria Mall, Sector 38, Noida",4,3581,"North Indian, Continental, Asian","₹2,000 for two","Gardens Gallaria Mall, Sector 38, Noida",919999123206,https://www.zomato.com/ncr/imperfecto-sector-38-noida/info
AMA Cafe,"Majnu ka Tila , New Delhi",4.4,5499,"Cafe, Continental, Fast Food, Street Food, Pizza, Burger, Desserts",₹900 for two,"House 6, New Colony, Majnu ka Tila, New Delhi",917428583240,https://www.zomato.com/ncr/ama-cafe-majnu-ka-tila/info
Gulati,"Pandara Market, New Delhi",4.5,6698,"North Indian, Mughlai, Biryani, Kebab, Desserts, Beverages","₹2,200 for two","6, Pandara Road Market, New Delhi",911145614378,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi/info
Poiz,"AIPL Joy Street, Gurgaon",4.5,346,"North Indian, Continental, Italian, Chinese","₹2,000 for two","Poiz Gurugram, SECOND FLOOR, AIPL JOY STREET, SF/021, Main Gujjar Rd, Badshahpur, Sector 66, Gurugram, Haryana, Sector 66, Gurgaon",918448080360,https://www.zomato.com/ncr/poiz-sector-66-gurgaon/info
Open Tap 29,"Main Market, Sector 29, Gurgaon",4.4,4189,"Bar Food, Oriental, Continental, Fast Food, North Indian, Beverages","₹2,500 for two","SCO 38, Main Market, Sector 29, Gurgaon",919971110974,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
American Brew - All day American Breakfast & Cafe,"Defence Colony, New Delhi",4.3,2557,"Cafe, Coffee, Beverages, Healthy Food, Italian, Continental, Pancake, Desserts","₹1,200 for two","D12, 2nd Floor, Dron Marg, Near Petrol Pump, Defence Colony, New Delhi",919717990135,https://www.zomato.com/ncr/american-brew-all-day-american-breakfast-cafe-defence-colony-new-delhi/info
Bella Vie,"Champa Gali, New Delhi",3.4,574,"Cafe, Continental, Italian, Chinese, Pasta, Beverages, Shake, Desserts","₹1,000 for two","258, Ground Floor, Champa Gali, Saiyad Ul Ajaib Extension, Sainik Farms, New Delhi",917982113363,https://www.zomato.com/ncr/bella-vie-sainik-farms-new-delhi/info
Chard - Burgers Grill And Bar,"Basant Lok Market, Vasant Vihar, New Delhi",4.5,580,"Burger, Continental, Coffee, Ice Cream, Beverages","₹1,000 for two","38, 1st Floor, Priya Market, Vasant Vihar, New Delhi",918368569532,https://www.zomato.com/ncr/chard-burgers-grill-and-bar-1-vasant-vihar-new-delhi/info
145 Cafe And Bar,"Cyber Hub, DLF Cyber City, Gurgaon",4.4,876,"North Indian, Kebab, Seafood, Continental, Italian, Desserts, Beverages, Bar Food","₹1,500 for two","8C, 4C, Ground Floor, 10th Road, DLF Cyber City, Gurgaon",919819834818,https://www.zomato.com/ncr/145-cafe-and-bar-1-dlf-cyber-city-gurgaon/info
The Sky High,"Ansal Plaza Mall, Khel Gaon Marg, New Delhi",4.1,3495,"North Indian, Chinese, Mughlai, Continental, Italian, Biryani, Beverages","₹2,000 for two","C-306, A-307, T-101 & 102, 3rd Floor, Ansal Plaza Mall, Khel Gaon Marg, New Delhi",919811208202,https://www.zomato.com/ncr/the-sky-high-khel-gaon-marg-new-delhi/info
Laidback Cafe,"DLF Avenue, Saket, New Delhi",4.5,1552,"Asian, Oriental, Continental, Italian, Middle Eastern, North Indian, Desserts, Beverages","₹1,900 for two","Shop 240-241, 1st Floor, DLF Avenue, Saket, New Delhi",918178207557,https://www.zomato.com/ncr/laidback-cafe-1-saket-new-delhi/info
Bellagio,"Grand View High Street , Gurgaon",4.3,2506,"European, Italian, Arabian, Mughlai, Modern Indian, Salad, Desserts","₹3,000 for two","14A, 2nd Floor, Ireo Grand View High Street, Golf Course Extension Road, Sector 58, Gurgaon",918130476700,https://www.zomato.com/ncr/bellagio-sector-58-gurgaon-gurgaon/info
Jamun,"Lodhi Colony, New Delhi",4.4,1539,"North Indian, Mughlai, Fast Food, Beverages","₹1,800 for two","17, Near Yamuna Chemist, Lodhi Colony, New Delhi",919990442244,https://www.zomato.com/ncr/jamun-lodhi-colony-new-delhi/info
Avatar,"Grand View High Street , Gurgaon",4.2,1235,"Asian, European, Turkish, Modern Indian","₹3,000 for two","Unit 16A/16B, 2nd Floor, Sector 58, Gurgaon",919205144461,https://www.zomato.com/ncr/avatar-sector-58-gurgaon/info
Dearie,"Gardens Galleria Mall, Sector 38, Noida",4.2,2333,"North Indian, Chinese, Pizza, Italian, Asian, Biryani, Sushi,","₹1,800 for two","B-2 First Floor, Gardens Galleria Mall, Gautam Budh Nagar, Sector 38A, Near Sector 38, Noida",919650805233,https://www.zomato.com/ncr/dearie-sector-38-noida/info
Zylo By Kakapo,"Ambawatta One Complex, Mehrauli, New Delhi",4.3,572,"Italian, Asian, Sushi, Mediterranean, Continental, Desserts","₹3,000 for two","2nd Floor, Ambawatta One Complex, Kalka Das Marg, Mehrauli, New Delhi",919319995829,https://www.zomato.com/ncr/zylo-by-kakapo-mehrauli-new-delhi/info
Bizou-Bizou,"Worldmark 2, Aerocity, New Delhi",4.2,685,"European, Asian","₹2,400 for two","Ground Floor, Worldmark 2, Aerocity, New Delhi",917303156444,https://www.zomato.com/ncr/bizou-bizou-1-aerocity-new-delhi/info
Ministry Of Daru,"Sector 63, Noida",4.3,3938,"Finger Food, Chinese, Continental, Italian, Mughlai, North Indian","₹1,800 for two","Plot 25, Block H1A, Sector 63, Noida",919667623005,https://www.zomato.com/ncr/ministry-of-daru-sector-63-noida/info
Oh Honey,"Logix City Centre, Sector 32, Noida",4.1,134,"North Indian, Oriental, Mughlai, Chinese, Fast Food, Pizza, Pasta, Bar Food","₹1,000 for two","H9F3 & PF 2, Logix Mall, Wave City Centre, Sector 32, Noida",917428928111,https://www.zomato.com/ncr/oh-honey-sector-32-noida/info
The Soho Garden,"Vaishali, Ghaziabad",4.3,744,"Italian, Chinese, North Indian, Bar Food, Asian, Biryani, Sandwich, Pasta","₹1,500 for two","Plot 6A, Sector 3, Vaishali, Ghaziabad",917065338000,https://www.zomato.com/ncr/the-soho-garden-vaishali-ghaziabad/info
Fat Lulu's Cafe & Bar,"Khan Market, New Delhi",4.3,1226,"Italian, Pasta, Continental, Beverages","₹1,400 for two","11, First Floor, Khan Market, New Delhi",919716628654,https://www.zomato.com/ncr/fat-lulus-cafe-bar-khan-market-new-delhi/info
Laidback Cafe,"Cyber Hub, DLF Cyber City, Gurgaon",4.6,2678,"North Indian, Continental","₹1,900 for two","Cyber Hub, DLF Cyber City, Gurgaon",919990816806,https://www.zomato.com/ncr/laidback-cafe-dlf-cyber-city-gurgaon/info
Pirates Of Grill,"DLF Mall of India, Sector 18, Noida",4.3,6404,"Chinese, Asian, Oriental, North Indian, Salad, BBQ, Desserts","₹2,200 for two","C 417, 3rd Floor, DLF Mall Of India, Sector 18, Noida",919205190777,https://www.zomato.com/ncr/pirates-of-grill-sector-18-noida/info
Yo Tibet,"Safdarjung, New Delhi",3.9,593,"Tibetan, Chinese, Fast Food, Beverages, Sichuan, North Indian",₹500 for two,"119 A, Upper Ground Floor, Humanyunpur Village, Main Enclave, Near NCC Gate, Safdarjung, New Delhi",911149061573,https://www.zomato.com/ncr/yo-tibet-safdarjung-new-delhi/info
